Minisector,VET,HUL,Fastest
0,259.6154458542846,250.16516877366743,VET
1,300.72642291127465,283.17166682666664,VET
2,174.853126849929,162.2277698728706,VET
3,166.5656295765518,168.6215448643127,HUL
4,259.4480357942857,253.936418008658,VET
5,268.5890937792245,265.40978188535564,VET
6,224.38237206153846,226.7709622645722,HUL
7,199.0574409322571,200.25952724648485,HUL
8,158.5844106213642,161.9910974195844,HUL
9,222.4589178062861,227.71165630058766,HUL
10,275.2999374275689,268.91176314920637,VET
11,134.39182191635612,127.24012777799298,VET
12,221.7773829121398,217.37289390341337,VET
13,282.3942461968254,277.2116782294785,VET
14,304.3893546799019,295.51562512,VET
15,310.57523176296297,301.9255314118689,VET
16,241.8866660266667,218.985207765372,VET
17,130.82265250294665,130.45839659881315,VET
18,133.4126704253968,134.26037382390248,HUL
19,121.83685040329426,119.2120903936508,VET
20,224.7307623862857,222.62947571358023,VET
21,250.37770597543772,253.78500328502244,HUL
22,236.61718778514285,224.0522429948718,VET
23,219.79124951583495,211.08719640209446,VET
24,134.4963148580139,137.90206174463083,HUL
25,221.93333333333334,,VET
