Minisector,NOR,HUL,Fastest
0,249.36069129225442,250.42127790225953,HUL
1,284.1860209253333,286.750568329697,HUL
2,158.75548451663593,175.9533998233181,HUL
3,170.0749862029426,158.4875992357509,NOR
4,257.49087904447066,257.3598581655065,NOR
5,265.4170667444976,272.7138263654603,HUL
6,235.1989538881119,242.96032204948315,HUL
7,207.5551718727104,209.05149087257885,HUL
8,163.213173869325,162.08220030105534,NOR
9,221.05940045113255,216.28580628430643,NOR
10,272.17483367915895,270.280492379798,NOR
11,130.47539843823537,119.13037442175727,NOR
12,216.93100083065661,214.61528102008657,NOR
13,275.87538988549846,277.44887458632036,HUL
14,298.88293145333336,297.5978411119192,NOR
15,308.4552631578947,307.06584318581884,NOR
16,247.18691331200134,249.91808013866665,HUL
17,130.45736889063338,129.31748262088618,NOR
18,131.0572226082526,129.0275915030941,NOR
19,122.7413453426708,122.08270402251475,NOR
20,221.5910517934118,227.51551258425567,HUL
21,248.4787757484737,261.6903810198783,HUL
22,245.51051887542857,240.07854214810004,NOR
23,222.76179913035114,216.52163177506782,NOR
24,135.49343724937188,137.2999953127105,HUL
25,216.0888888888889,209.92000352,NOR
