Minisector,VER,RUS,Fastest
0,290.5731459526494,298.11879007237746,RUS
1,160.10046424752883,165.84976054185634,RUS
2,155.01885433974195,156.3529547523095,RUS
3,227.83295660228063,234.85830593598675,RUS
4,285.77956817916305,285.6402991656517,VER
5,295.7638665935997,287.6516716672831,VER
6,151.06574765549772,144.05209979421448,VER
7,143.46450151517107,147.32738555622146,RUS
8,142.45861267629076,136.71894494517556,VER
9,185.98180311312268,204.2294387382652,RUS
10,131.42802653269297,133.62473570610538,RUS
11,130.61715624305128,132.6044700446043,RUS
12,166.45264741502632,179.0591517701768,RUS
13,267.8509124484183,272.46116540100127,RUS
14,296.4294636523565,295.3468865012595,VER
15,159.53570788340514,151.1847694932962,VER
16,219.87084153983056,206.713194113811,VER
17,171.9265494896623,178.32619812732003,RUS
18,271.1006781710793,272.73090907144945,RUS
19,294.2955206059467,293.55803257904955,VER
20,307.66621857707315,308.7023568444091,RUS
21,316.2335968163724,317.03199684551885,RUS
22,321.22499163875557,324.01040882406016,RUS
23,323.55105639746097,326.1022770961215,RUS
24,322.0910966288048,323.84308718893095,RUS
