Minisector,LEC,HUL,Fastest
0,174.13065922633746,134.31888910640524,LEC
1,208.27132488246139,172.67890690000002,LEC
2,220.04261735619045,217.84398825902662,LEC
3,152.8195398988506,250.23645871111114,HUL
4,113.2582703769038,275.77500053333335,HUL
5,152.60328945745007,294.1022224118518,HUL
6,189.48749973333335,306.8200004266667,HUL
7,158.9964882162578,313.9804348289855,HUL
8,158.50577786311112,321.2775002514286,HUL
9,150.27046196520635,326.11458355555555,HUL
10,170.0480664612419,331.0,HUL
11,213.31408583797153,302.3156215428571,HUL
12,226.61229290666665,194.91491677142858,LEC
13,253.84244989273185,106.09011559689922,LEC
14,226.5192701939394,103.91152950612509,LEC
15,215.13758485767704,175.33502995260952,LEC
16,222.0,235.48792335639098,HUL
17,257.0022147047619,255.79953764232803,LEC
18,277.18609716771925,262.53083274666665,LEC
19,274.33402305185183,211.1801570031746,LEC
20,164.72102781184768,138.37556994487178,LEC
21,112.16277634969225,117.48796150404252,HUL
22,146.93743223466666,153.02857203809523,HUL
23,202.56182184347827,194.44500096000002,LEC
24,142.55467689180063,233.985250592,HUL
25,115.75999232,259.057978650535,HUL
26,,279.369792,HUL
27,,288.7338894933334,HUL
28,,302.9684524190476,HUL
29,,300.5404024242425,HUL
