Minisector,ALB,GAS,Fastest
0,257.845500054881,257.714438919224,ALB
1,209.16110584761904,202.28362897659343,ALB
2,217.2010720136668,217.76196098064517,GAS
3,261.77403831794874,259.95754589737084,ALB
4,276.4433710010241,274.0316664,ALB
5,224.37761172493248,221.16998762364872,ALB
6,96.31874763410815,95.54694714717789,ALB
7,183.88852575294482,183.31193623063064,ALB
8,268.6954229343015,268.4431344563389,ALB
9,290.4425345777778,288.901295090354,ALB
10,298.7719202782609,295.76524141525846,ALB
11,293.30185544032815,289.0138630812679,ALB
12,110.41165702342684,112.28408382994739,GAS
13,214.62982275003128,212.98715377275033,ALB
14,276.7666196485034,275.71766882563264,ALB
15,296.6190896758495,293.48178053830225,ALB
16,225.92368521255383,224.7779389476272,ALB
17,124.08642771682554,121.38633871904453,ALB
18,154.20515445194803,151.79315487383818,ALB
19,254.22154432320062,253.2774028698413,ALB
20,161.02600371036593,156.83955820863986,ALB
21,129.23707913043603,126.89036304862312,ALB
22,201.42219000871464,202.726750767507,GAS
23,209.56768708257897,204.40992764896654,ALB
24,168.26094404619786,166.72195080348874,ALB
