Minisector,LEC,GAS,Fastest
0,267.61504096117216,263.3496121612694,LEC
1,244.04719215407408,250.19352138271606,GAS
2,153.02152207017716,167.52314161549512,GAS
3,250.8792870297724,247.2221110574956,LEC
4,275.51406235555555,271.39078807168056,LEC
5,187.3595461677699,190.4551107950736,GAS
6,118.61432986083497,122.74807025168565,GAS
7,166.68252191349603,159.3294113133795,LEC
8,261.621333248,258.3308317866667,LEC
9,177.5336252778198,188.69858593467544,GAS
10,185.09797555809521,178.3862175748169,LEC
11,257.5287988585012,255.7744332750793,LEC
12,235.44360114285715,247.97940674531307,GAS
13,259.1809401279483,253.84113040908795,LEC
14,286.8655795478261,282.12210054492755,LEC
15,288.7651289564069,291.1294717231189,GAS
16,149.49856430477922,148.10223530251722,LEC
17,239.78323158284942,233.77833739163157,LEC
18,287.60308425281386,280.24777340289853,LEC
19,300.2676136242424,293.4447462956522,LEC
20,305.60782942182584,296.9396376382183,LEC
21,312.4914681687075,298.82348494545454,LEC
22,156.28385385151492,169.06928407857464,GAS
23,91.31352181418684,90.50035028206132,LEC
24,173.4913577080787,167.37994865702998,LEC
25,245.73333333333335,243.88541333333333,LEC
