Minisector,BOT,STR,Fastest
0,265.64967938461535,263.08880179753936,BOT
1,252.6031937241925,250.08205054358976,BOT
2,173.24304245283557,166.75448883291213,BOT
3,250.6378558018405,249.31113540347383,BOT
4,276.6744790920635,267.54461804444446,BOT
5,193.44096944021908,197.01186558838168,STR
6,127.19294244277317,125.18331752700695,BOT
7,165.55943307515858,153.90257701220304,BOT
8,262.6650395704632,255.92899856112533,BOT
9,183.6830368,191.9967450845149,STR
10,189.6496733742095,175.1138803762489,BOT
11,260.6853807725714,256.10924127685144,BOT
12,242.3147903916975,241.10219352382214,BOT
13,263.31480924038095,254.65590062017202,BOT
14,288.1408014041805,279.4012684400801,BOT
15,287.03083997083354,286.30929094765503,BOT
16,156.31470287539085,150.46650319968984,BOT
17,245.66040489876542,234.69771942184056,BOT
18,288.29249054545903,282.0587426289539,BOT
19,300.2033530801674,294.71819353706,BOT
20,305.00795447272725,299.16984132063493,BOT
21,308.75122751304775,302.43371209696966,BOT
22,152.40457895196297,167.0028970539339,STR
23,98.35445079555426,91.98140688925025,BOT
24,184.89509012683752,174.7529981944084,BOT
25,246.16418138561,247.12500053333332,STR
