Minisector,BOT,NOR,Fastest
0,319.7487155729323,322.4640592253968,NOR
1,327.2125,329.72337973333333,NOR
2,323.8370699936508,328.9749998814815,NOR
3,167.34453977512507,170.72239925571935,NOR
4,140.01978873924799,135.72807055012345,BOT
5,271.47310970289703,271.3157817909307,BOT
6,302.02810759164976,301.9206181869151,BOT
7,315.2281250666666,307.3125,BOT
8,249.51784271992773,258.49109651800825,NOR
9,156.3597515229451,150.5005588288984,BOT
10,224.86050862983322,216.05379551678266,BOT
11,232.23747350823774,223.3905613442177,BOT
12,210.57481695792904,196.3691443732602,BOT
13,279.19873238260874,277.0343177076605,BOT
14,310.0471175136869,309.9614884114286,BOT
15,316.6817981192982,316.54120716190477,BOT
16,260.91475595555556,239.24024507545786,BOT
17,215.5724509335409,217.5897873515651,NOR
18,277.9448055757576,282.2804661748918,NOR
19,308.58509902509945,312.69690512,NOR
20,321.7124060551379,323.52935462656643,NOR
21,306.2959092364648,282.24655610434786,BOT
22,219.52032028899833,207.73057565976373,BOT
23,273.5589885866329,276.25000055652174,NOR
24,306.2400794920635,309.6218813409174,NOR
