Minisector,VER,HUL,Fastest
0,274.53016752589076,273.87212813383303,VER
1,233.9958783945319,225.82162110111838,VER
2,119.45693833899122,114.47120554132967,VER
3,196.3115791458331,188.41419019540933,VER
4,183.29250417132837,177.17815528088366,VER
5,217.79876162514907,220.01494748613894,HUL
6,274.34739269309813,274.25067078154973,VER
7,292.51026834634774,289.8807213236594,VER
8,186.44313253646212,175.53184882003205,VER
9,135.50550719798682,129.77922728305055,VER
10,136.60632599755778,134.8465312495744,VER
11,190.8159782670759,190.55879926225688,VER
12,221.87602320092392,214.54877993504678,VER
13,137.8219920668175,133.01962376361968,VER
14,158.9347132400787,148.5102481043775,VER
15,125.04689282727205,124.02737070258267,VER
16,254.1594536886043,253.17375771067245,VER
17,146.7070402584082,138.69373805852877,VER
18,201.93443250876885,203.96563563952805,HUL
19,137.13359736483085,131.93106893846274,VER
20,152.04716616794246,145.16924874243145,VER
21,127.09451059221958,128.73764825605127,HUL
22,148.025604450046,144.00299212647218,VER
23,218.74794869075777,213.12355830173854,VER
24,231.71151087535577,232.9759216376999,HUL
