Minisector,PER,HAM,Fastest
0,301.8379700522637,296.38773448666666,PER
1,235.6408148024593,227.37716747172072,PER
2,130.23524491928143,132.22198395474837,HAM
3,240.27523485521297,232.18505747103202,PER
4,190.36103622711622,188.63638724440605,PER
5,239.0869839826601,238.7958517123664,PER
6,228.34583774265968,224.04213114838709,PER
7,251.85205317902776,257.6433712365333,HAM
8,288.8295206254101,285.2408826214815,PER
9,202.1219533622857,206.79493377001566,HAM
10,201.28629494070768,204.43982159788382,HAM
11,271.45575131026726,269.5968764642199,PER
12,209.82355054730158,205.52726798349605,PER
13,247.8936082864397,241.05233786141508,PER
14,292.0035922577226,284.11682124523213,PER
15,308.1640708864548,300.9948998880231,PER
16,311.13074221954884,303.4299603088849,PER
17,233.21523606185886,231.4726128571377,PER
18,269.80823626373626,260.64492653778257,PER
19,298.5317615955776,291.0946116935805,PER
20,313.0097865704006,302.7981364830883,PER
21,313.9217843948052,303.4030204934745,PER
22,150.88723235287418,156.69987120481724,HAM
23,228.9064111233221,229.68557476295467,HAM
24,285.0985097869597,278.99306884590317,PER
25,295.8750016,291.0111111111111,PER
