Minisector,BOT,RAI,Fastest
0,299.63077289689863,314.1597018120894,RAI
1,256.473633237357,247.70992852347786,BOT
2,206.43973042748584,197.41556348388104,BOT
3,268.2324823990324,266.6341748883202,BOT
4,232.91086275808013,221.42543582308716,BOT
5,120.13894721525126,116.10707674246905,BOT
6,186.4985680945533,178.8831103735937,BOT
7,260.3335592467559,259.9668837482284,BOT
8,288.8165651824973,288.7403449913775,BOT
9,302.7560567480626,302.37349731645236,BOT
10,305.71267345222697,306.09096813103594,RAI
11,226.9065046606665,205.51240933936856,BOT
12,146.40563560298574,148.0776313410568,RAI
13,255.967326752197,261.443797993632,RAI
14,289.86559847005424,291.48362757560983,RAI
15,300.97179482557885,301.82877287144936,RAI
16,295.5488558327831,298.02566015558045,RAI
17,271.58183491742017,254.21307074448114,BOT
18,194.57285096621126,182.79206331359177,BOT
19,194.10825103340323,176.14256012601479,BOT
20,191.01055244320315,199.9156525983513,RAI
21,252.4763853313687,237.9885485946889,BOT
22,129.62958706214403,122.68145633871734,BOT
23,197.96695056897644,218.19942613918718,RAI
24,276.4715993461131,278.8064646954064,RAI
