Minisector,PER,OCO,Fastest
0,284.3753434086478,281.4089676927831,PER
1,132.40416017790827,115.72424835681754,PER
2,160.0261589990715,163.39916806539907,OCO
3,231.15062852498698,199.675797231915,PER
4,163.24323547933508,155.88813502168887,PER
5,239.7967361415539,241.6871248182857,OCO
6,229.87690986745656,196.63284773197816,PER
7,136.94701550976598,133.57649365531435,PER
8,231.5908383453804,226.8299095333738,PER
9,271.8261945722231,278.02387980682556,OCO
10,282.58978953415595,273.95124999999996,PER
11,149.9169386855914,136.495944564009,PER
12,222.0445618937753,217.6250782333333,PER
13,265.8892813196355,265.4215514113616,PER
14,267.5506831021554,249.58318206126904,PER
15,102.6115723449419,98.98984349429075,PER
16,221.61661247907648,212.95188888888887,PER
17,270.3457318495722,272.1113363968787,OCO
18,289.64641773262787,298.9156287419883,OCO
19,298.86460623451705,313.1583872053872,OCO
20,304.45925209,322.7533653415385,OCO
21,301.5916658871795,263.73767474325814,PER
22,154.97535734872332,149.535042266826,PER
23,234.4668138342752,242.4250473864662,OCO
24,272.576944897098,284.3636719,OCO
25,283.1666666666667,,PER
