Minisector,PER,TSU,Fastest
0,303.91072531131414,304.0427796935818,TSU
1,319.2569443047619,318.1462122666667,PER
2,306.27193941471864,287.630346026535,PER
3,107.7717581233795,108.84134578536396,TSU
4,221.3407248172043,228.28170664515002,TSU
5,278.99412852678057,287.15750136935355,TSU
6,226.97694634666667,220.50596199560493,PER
7,158.06042357614194,156.69677099677617,PER
8,216.28715517542244,205.84730186775982,PER
9,225.13549734376357,216.51303755698925,PER
10,121.47026485586406,118.24325136587137,PER
11,226.6760052597701,229.26900923543383,TSU
12,127.33592983927305,124.65341165975292,PER
13,222.75131667396562,225.4123029536508,TSU
14,276.97166640761907,279.50503999645883,TSU
15,226.81625129955555,215.360348627957,PER
16,192.76785651809524,193.71962757516877,TSU
17,251.54675921382716,252.1071661010989,TSU
18,213.47916813333333,200.04873023495645,PER
19,176.31751183352492,184.69962271151067,TSU
20,260.82976321929453,264.2400118602705,TSU
21,281.47577641909703,288.8147572444445,TSU
22,181.78796138595823,172.09182964519994,PER
23,214.06854744086021,217.22096898064515,TSU
24,266.85178855500226,270.1038018225358,TSU
25,280.0,,PER
