Minisector,HAM,SAI,Fastest
0,307.35262731178716,307.67213130068563,SAI
1,232.51718633284847,226.38423438896217,HAM
2,127.84399820935839,127.50390174168729,HAM
3,233.31506922771757,231.6664574315052,HAM
4,191.88375100498433,189.88563146230703,HAM
5,247.95444268293738,243.20014023740933,HAM
6,231.73265379450626,224.03837765003175,HAM
7,258.91996362533956,259.66164568832454,SAI
8,293.1837421172684,293.8314831860236,SAI
9,197.89293121894403,200.94560169889814,SAI
10,209.44126222832958,211.33544222491423,SAI
11,275.0590258739981,276.3716987408344,SAI
12,206.84350708921605,206.14356972689504,HAM
13,249.33156630000934,255.7050898949726,SAI
14,293.50477596908024,296.404332593813,SAI
15,310.94184671072463,310.6925785120773,HAM
16,311.59177706720135,312.57654235613273,SAI
17,209.622552963629,201.91073015492987,HAM
18,264.76476635473193,264.3283513981799,HAM
19,297.12024286989083,297.46775706209525,SAI
20,313.75429959111113,312.55468601165944,HAM
21,313.485309063924,315.2180416213333,SAI
22,141.80347748133678,144.37541518420278,SAI
23,230.9326333931361,235.59242884761906,SAI
24,289.1706069877551,292.38645804712496,SAI
25,303.32500096,,HAM
