Minisector,HAM,VER,Fastest
0,271.04141472986,270.5256615556303,HAM
1,249.73970533554268,236.4328411344544,HAM
2,124.58036117825503,121.11153397910535,HAM
3,175.83932379909936,168.2604899474475,HAM
4,200.813192503343,202.4192625520879,VER
5,198.76083217934064,199.23404592263202,VER
6,264.16385618217237,266.68534974107996,VER
7,286.25505738386323,285.70817600842105,HAM
8,234.88474567063164,239.47863061424638,VER
9,149.39365033133186,147.09698246249823,HAM
10,118.95664355838258,108.71050795454559,HAM
11,149.51837769420953,151.55865772454118,VER
12,243.8965771750523,246.57224418172706,VER
13,158.69037526408013,151.70255365122824,HAM
14,149.1027325092495,150.68933022627348,VER
15,109.0992811330426,111.02951090015375,VER
16,220.6960269377778,219.5583124215873,HAM
17,239.95374202675617,237.49288274813424,HAM
18,131.02237026913454,128.75541115536095,HAM
19,239.5227546611456,242.95022427308356,VER
20,275.20825379905705,275.59015157485715,VER
21,212.0419904234836,189.28584483873206,HAM
22,148.80426376262338,146.69001887405912,HAM
23,217.0637826084022,220.26357796539992,VER
24,224.24516320792551,229.46003764232972,VER
25,253.83750080000002,,HAM
