Minisector,PIA,BEA,Fastest
0,249.05210212539683,248.33499344511503,PIA
1,286.07987560495246,284.737499952,PIA
2,172.26597843267584,163.11658635676338,PIA
3,159.0583475941875,155.60030850584695,PIA
4,258.1820506824909,254.16620999346995,PIA
5,273.57730618981105,269.245641420951,PIA
6,251.24186411933496,235.88483028223143,PIA
7,209.3855839180508,200.57628596899573,PIA
8,160.8030130784997,161.44569326037623,BEA
9,220.64123851894786,216.59280357529445,PIA
10,273.84746575805787,269.4970158706842,PIA
11,129.56131162778087,122.72758096396062,PIA
12,215.25772801327562,216.0953551331482,BEA
13,276.36573828455795,277.1513415248198,BEA
14,296.1001558961039,304.8712175511203,BEA
15,304.3211273820609,319.23715535772766,BEA
16,246.4809711335421,215.28897265786023,PIA
17,124.25965991674235,127.7191993087172,BEA
18,126.97649529513863,133.5886574419753,BEA
19,110.67926834993608,119.84475270199177,BEA
20,226.68748149903175,221.85291989618602,PIA
21,261.9014129388152,256.8570668394198,PIA
22,248.81449734836124,231.7916464369903,PIA
23,217.44062142909883,206.84359004281504,PIA
24,137.9132119540553,137.80347969516205,PIA
