Minisector,GAS,PIA,Fastest
0,246.8248190698811,254.9619102590476,PIA
1,204.80714830705685,213.2678101787586,PIA
2,206.40824717300316,206.73515872122604,PIA
3,257.6645118983496,258.53094671634796,PIA
4,272.1320979353361,274.8113347731997,PIA
5,285.36654249650894,288.1088293728395,PIA
6,158.29442039312934,160.08668733699048,PIA
7,182.865419821486,181.5114806498819,GAS
8,265.0309163724954,269.82660148040407,PIA
9,292.7034845915152,298.3630834567399,PIA
10,304.23069440790124,309.12340460948303,PIA
11,301.27636863637457,305.9917402369161,PIA
12,109.9913299508345,109.94173232423182,GAS
13,190.38637013013823,195.58748574459528,PIA
14,266.9145728805577,269.0974506683353,PIA
15,291.6078748899048,295.437380952381,PIA
16,291.5788039486466,297.07616032507934,PIA
17,187.5880059585306,191.01357269818183,PIA
18,219.60507493348385,222.40217010285713,PIA
19,261.82266577741495,271.1177847552795,PIA
20,142.32063230824573,150.87947517259815,PIA
21,142.75722633138025,144.83733382411148,PIA
22,214.61357287931622,223.611175174181,PIA
23,228.56361323398093,230.6441106368229,PIA
24,155.08669584045583,157.73401722736702,PIA
25,223.92,,GAS
