Minisector,TSU,RUS,Fastest
0,290.5752452860618,293.6081127447542,RUS
1,160.43257309513783,174.2339425419786,RUS
2,171.22125801373187,164.78625848679883,TSU
3,252.239609242197,248.7274266548588,TSU
4,286.47947929227513,288.4402577371428,RUS
5,251.09390971496694,256.53286505886695,RUS
6,222.85813781198053,219.8995315353091,TSU
7,150.11115435172164,152.1834351823085,RUS
8,230.75457871116188,218.82129450365557,TSU
9,279.84189386323976,277.59509609481483,TSU
10,298.1689325018182,300.2921968872727,RUS
11,306.7632220046956,310.6541896510242,RUS
12,310.13642174690057,315.603437392,RUS
13,306.0938198331429,316.5391055455678,RUS
14,124.87962239924047,118.40199560462094,TSU
15,117.76007155280551,115.84136314657893,TSU
16,102.43763196369882,104.19674013854517,RUS
17,237.7902293993266,236.59963771686978,TSU
18,287.4542514394558,287.5199727348458,RUS
19,306.1474514651335,310.0242335208695,RUS
20,316.0772910168441,319.9235862327619,RUS
21,317.4171835379387,324.564037117543,RUS
22,119.59546285582775,123.01857048960001,RUS
23,205.20127861612153,204.80781041331073,TSU
24,268.3386765402597,267.795493159089,TSU
25,281.95357074285715,,TSU
