Minisector,LEC,ALB,Fastest
0,257.9211701399586,251.64184773118714,LEC
1,283.31500762358337,281.04874976,LEC
2,174.79948346204156,170.65871551190784,LEC
3,172.1850574034218,169.01328753909024,LEC
4,264.00414606062236,259.37009342466865,LEC
5,282.7841377888193,271.02642048484853,LEC
6,244.45890784217863,221.31280880987654,LEC
7,215.62475523407898,206.15991371034482,LEC
8,159.02418387467918,158.66186812991725,LEC
9,216.73712921192006,223.33076885567763,ALB
10,276.764663812987,271.72925449555663,LEC
11,128.45385461094978,126.51625133690702,LEC
12,221.83917865533297,222.1842488908425,ALB
13,274.4092263293141,273.93698688765613,LEC
14,290.9589877180953,291.849574770068,ALB
15,297.54229168,293.15500000000003,LEC
16,236.00117175466667,222.64221794426808,LEC
17,140.27999504517044,137.02163782059066,LEC
18,142.16842792583375,142.52545457628318,ALB
19,123.76357256135287,123.28513774569515,LEC
20,235.0133321447619,230.8581732923077,LEC
21,261.58653449758424,258.6223086641822,LEC
22,238.67083541333332,230.81385096202584,LEC
23,221.1018799821821,215.59027299837126,LEC
24,146.6115016685714,147.88361253578114,ALB
25,224.20000000000002,,LEC
