Minisector,VET,VER,Fastest
0,281.1301180717354,278.2790423660664,VET
1,219.3243685302471,221.91778517333333,VER
2,113.96207422974771,113.75658425194202,VET
3,202.1458932760172,196.90946663524477,VET
4,175.70228161681413,172.54096213817454,VET
5,225.21148193179772,222.69019675605227,VET
6,278.3191820399568,280.3264815204507,VER
7,295.04495607017543,293.5671053473684,VET
8,175.75757292429935,168.53624323793596,VET
9,126.83370734119481,126.8683195894189,VER
10,137.05130322517732,140.64008547361928,VER
11,199.25806610415165,197.611858556346,VET
12,212.37596344615383,203.50262109986426,VET
13,131.8857957733333,134.05779949401708,VER
14,147.38985220586844,134.54841643705407,VET
15,128.80701794160026,142.48928912900067,VER
16,258.01145141399934,252.30947035151513,VET
17,138.51295468279162,136.5362986941209,VET
18,206.99049785904762,209.5100955376652,VER
19,137.2506381641237,129.72736888613042,VET
20,145.01581319607135,142.90694550629834,VET
21,128.22341203004257,127.56807162477155,VET
22,151.0146057211519,160.69264343979685,VER
23,220.2628411270073,219.28745248304764,VET
24,238.18042514608197,241.3834949264069,VER
25,267.27499946666666,,VET
