Minisector,PER,LEC,Fastest
0,289.44935696605796,290.30450519443224,LEC
1,300.43806560253967,303.26075438209944,LEC
2,306.9164931259259,308.0210689015873,LEC
3,308.0173608177778,309.56250011428574,LEC
4,191.01646146873176,194.24830949155273,LEC
5,214.44377893084092,214.5070960153375,LEC
6,264.985454017974,266.41275526067614,LEC
7,270.5039359839286,269.94245375272726,PER
8,189.56026337038776,189.74726006787972,LEC
9,155.96498331418297,160.54632856365942,LEC
10,183.56639168864152,184.78066227733117,LEC
11,257.54360801941044,257.5514678200963,LEC
12,266.030166048,254.9673791456505,PER
13,231.22642501425383,231.2967734499379,LEC
14,267.70397227644906,273.61814990334756,LEC
15,164.645973398139,174.87139272507235,LEC
16,222.2879358184153,220.0316489328363,PER
17,230.50205241713985,245.10336942452014,LEC
18,135.75548665619922,137.5647426200916,LEC
19,240.82246791040984,236.73591941337835,PER
20,277.44838452390024,273.2955190603175,PER
21,248.9562965782047,251.78617614545456,LEC
22,144.01680988932586,142.70300281735422,PER
23,212.18664862476464,209.4830368567598,PER
24,267.9760353890909,267.6354442945593,PER
25,,278.97499904,LEC
