Minisector,ANT,LEC,Fastest
0,309.41602025396827,295.2112245320166,ANT
1,160.39678572239492,163.83801835125746,LEC
2,153.0390170635358,151.2666691064566,ANT
3,237.14775486224485,231.37099523226465,ANT
4,290.6510734172135,293.0781585438939,LEC
5,283.3620522888808,291.3443923123722,LEC
6,145.71010102713956,146.48381958379125,LEC
7,152.18749860827216,141.00371295324933,ANT
8,137.59636338959905,141.78359422391858,LEC
9,199.1647418084764,186.16955612774515,ANT
10,126.29951629669648,128.45315168239475,LEC
11,126.7899132641638,125.80979547597599,ANT
12,172.10723630756968,168.9046612176876,ANT
13,271.05879799180434,269.94570460584504,ANT
14,296.61144386253534,295.07892981531666,ANT
15,144.80223101355196,156.72375114209513,LEC
16,208.72405108718277,204.68901349536446,ANT
17,176.512212215522,172.6119113872116,ANT
18,271.97601164765734,272.3260480053648,LEC
19,297.4444284901194,298.0061701777852,LEC
20,311.67786130856655,314.4654165138624,LEC
21,321.55629748338083,322.52922965174963,LEC
22,326.1721522336258,327.5583247518023,LEC
23,330.0993252286967,332.5385617426891,LEC
24,329.56747878341014,331.4270205546642,LEC
25,,327.08099703380213,LEC
