Minisector,ALO,OCO,Fastest
0,289.02212938235095,289.15136576296294,OCO
1,290.8344395920772,297.20426430655465,OCO
2,157.65576173800093,160.54552196185148,OCO
3,216.1486029512155,220.70227197071895,OCO
4,270.16606634871465,273.59781301541386,OCO
5,292.7202615365079,291.38752096806724,ALO
6,302.81334058353684,297.85794637714287,ALO
7,162.91611043366046,170.72589429628263,OCO
8,123.00022666545362,127.07088333227256,OCO
9,249.09752501051148,248.2348929371429,ALO
10,283.26641202796316,284.39776266717195,OCO
11,293.1729756363636,295.2715684392157,OCO
12,137.11279015607298,141.40215339494327,OCO
13,196.58850459281012,189.15912583233174,ALO
14,250.85165752323232,257.3577154707996,OCO
15,193.2076596141153,196.9797878726089,OCO
16,203.04487678780953,209.80289285714284,OCO
17,203.4295848305014,203.2434990947034,ALO
18,238.03343839999997,239.78661055733548,OCO
19,273.600181938636,275.392585720979,OCO
20,293.02162283789477,291.2528324525461,ALO
21,262.93964727578947,248.64581439888033,ALO
22,208.9180735302634,218.45643571157873,OCO
23,190.72538992786156,187.8057311551353,ALO
24,263.926837196705,260.256806897266,ALO
25,,281.0625002666667,OCO
