Minisector,SAI,PIA,Fastest
0,295.1427814808768,281.41193589589466,SAI
1,319.68350222370856,297.1509896133333,SAI
2,311.9561180124224,292.7499294309957,SAI
3,182.52321266243746,176.90728374419444,SAI
4,219.09971126233768,219.746964216237,PIA
5,207.27468899263738,203.919993184012,SAI
6,181.5290384006173,180.51226703915344,SAI
7,209.307355575459,208.32452136382653,SAI
8,260.24458513846594,258.89326158611584,SAI
9,265.94569113756614,266.7370548051649,PIA
10,166.42375336950664,165.92378365932703,SAI
11,234.60355406995205,236.94653257624026,PIA
12,119.98650291237519,118.06805960680404,SAI
13,223.98910262185356,223.68544528241202,SAI
14,277.24446430056,277.19140296123686,SAI
15,293.5008383669841,289.43691338632965,SAI
16,219.52435010831036,215.48413316280477,SAI
17,188.31298268698413,189.77606052046175,PIA
18,265.14980911260994,268.69969657570687,PIA
19,290.9215344084656,292.75077499649416,PIA
20,299.80314982389507,303.8750259085784,PIA
21,300.44406635693406,303.4606568731597,PIA
22,282.6569635667136,251.35396230940785,SAI
23,115.7795946987663,118.15201812591636,PIA
24,234.7998277083184,239.7300113449573,PIA
