Minisector,HAM,MAG,Fastest
0,286.12484583672517,284.5655363773465,HAM
1,289.5014498294612,291.7161277,MAG
2,171.75073935952815,152.43607113605444,HAM
3,224.53462861687785,219.66217645072683,HAM
4,270.80764398571426,268.52892145080006,HAM
5,291.34841477235767,288.8859049698178,HAM
6,294.9640283835828,294.9368444708571,HAM
7,168.47631374216112,175.85743187611004,MAG
8,124.42911916941904,123.75632573839277,HAM
9,246.63255778285716,241.86379423216772,HAM
10,282.8187104474272,281.2540841657143,HAM
11,294.82546732952386,289.6524709301961,HAM
12,136.64678131355458,146.44711026705667,MAG
13,194.1077834001517,187.34170235511735,HAM
14,256.8367627115458,252.45327572948423,HAM
15,191.26800949371636,202.96906953064934,MAG
16,217.30149687329663,209.4906391128161,HAM
17,210.40134839731093,206.73999384623437,HAM
18,240.53083779794775,240.88733811478687,MAG
19,274.59449708095696,271.4410319532071,HAM
20,292.0356724850356,290.3929126142857,HAM
21,258.89404171286526,263.53246249499324,MAG
22,225.2635017324043,223.1255775192567,HAM
23,200.17262941822474,189.67569843474124,HAM
24,259.6657084776419,255.17759412629346,HAM
25,275.7656256,274.76999936,HAM
