Minisector,LEC,TSU,Fastest
0,251.23650705069554,249.9235605388006,LEC
1,218.55986115156355,211.18241928066485,LEC
2,200.32844894779387,202.65008363848932,TSU
3,254.74079664789215,258.12903644971044,TSU
4,270.0268494099248,272.48155281535355,TSU
5,287.392240806076,286.2010222419753,LEC
6,166.18167863936438,161.79456666517532,LEC
7,177.49726626551566,183.15035180161092,TSU
8,266.57309046492753,264.90102113630854,LEC
9,291.43592140432423,289.01532914378066,LEC
10,303.66729703672723,299.9144135545679,LEC
11,306.7611996790476,302.27141357656564,LEC
12,117.03832392479363,112.43219358476598,LEC
13,195.64355649182863,194.78321567324252,LEC
14,267.78914340685714,268.70574676611693,TSU
15,293.0374883886384,291.086198742392,LEC
16,295.73017863999996,296.48646501818183,TSU
17,187.8628828251009,176.59875244624064,LEC
18,216.1734123911111,220.46803204217687,TSU
19,263.77547509174724,266.18559163336687,TSU
20,153.65768823473923,147.3366529037838,LEC
21,145.3935858927992,143.50803462975907,LEC
22,219.6610345181527,219.73255475777697,TSU
23,229.73260993523812,231.00773765286235,TSU
24,157.77687776278873,154.4712466882784,LEC
25,224.4249984,221.5863586909091,LEC
