Minisector,OCO,STR,Fastest
0,264.6153689256651,259.9448588441742,OCO
1,126.0732283643139,128.07724064409172,STR
2,267.2963538210653,266.5589543605208,OCO
3,315.57857131428574,306.3122363919022,OCO
4,315.4816165048051,304.6444170906911,OCO
5,325.10246913580244,313.6426443359093,OCO
6,339.72457404175753,319.30272444102565,OCO
7,345.1347618864762,318.78659749251955,OCO
8,197.42981128000986,186.791656238275,OCO
9,192.46605763688186,194.18040910422116,STR
10,181.93291509628784,175.7447978736718,OCO
11,162.57063804511876,166.51464375835891,STR
12,250.22927653725105,258.23975575669226,STR
13,266.95583625118775,281.90841202576325,STR
14,277.30813150107525,280.65238195588256,STR
15,271.37330603526397,265.6995579198818,OCO
16,185.1441561730159,182.955020031179,OCO
17,189.6915282216395,189.19118141183841,OCO
18,241.19806066417814,241.77099144660022,STR
19,288.28124199900725,288.8637388986257,STR
20,310.7136931989923,311.9694096359557,STR
21,318.57712631132546,318.57554369917773,OCO
22,315.03304467775695,317.44315478095234,STR
23,254.88312066604448,232.43066540191066,OCO
24,112.60346063012065,115.14612935767754,STR
25,227.4,,OCO
