Minisector,LEC,BOT,Fastest
0,309.49783859248123,306.05689298590477,LEC
1,186.42458158311982,214.89444491724973,BOT
2,225.51593465569954,225.10625397119918,LEC
3,282.4652513201436,278.56797861248555,LEC
4,233.1491409192487,256.8785974230549,BOT
5,129.16583017956032,130.35969989325207,BOT
6,215.6983835900571,206.05406342826828,LEC
7,261.6006178502833,254.2114885697827,LEC
8,242.74040177177503,237.3510352578266,LEC
9,233.4922994589364,231.27810420743864,LEC
10,279.3007493787121,273.19405768514616,LEC
11,299.54034347750445,292.7011923466667,LEC
12,309.50907791040976,303.25994464533335,LEC
13,315.02505451896747,309.5498843301587,LEC
14,318.22076125483403,308.4005426346873,LEC
15,267.36924874089186,255.4343234904072,LEC
16,242.3589357482958,233.26007387288593,LEC
17,287.6776490448806,274.6227759503526,LEC
18,309.0666594488889,290.1927056237128,LEC
19,160.8164619024827,157.68334936300798,LEC
20,212.34005784305006,209.75251419210198,LEC
21,204.599891987269,196.12503177142855,LEC
22,138.85433032858862,133.07262114795762,LEC
23,237.54753590884764,232.7192570086758,LEC
24,279.91873456207793,277.13535777306123,LEC
25,290.7083338666667,288.47250048,LEC
