Minisector,ALO,SAI,Fastest
0,298.3068730952381,302.3381252444444,SAI
1,210.8504250496032,206.72065832471893,ALO
2,138.5574997165772,139.08684264450216,SAI
3,217.30293502408972,213.59140309952414,ALO
4,161.68768400113848,156.8784060807867,ALO
5,172.01571252649046,178.45846482577159,SAI
6,247.6392211499118,251.17416746666666,SAI
7,275.4079731649123,276.9433895529412,SAI
8,281.6571758010582,286.2739999969524,SAI
9,252.9551927669841,259.7380732207408,SAI
10,240.1139087472864,245.75636450933334,SAI
11,243.24155869588702,244.47530675134456,SAI
12,210.46348233630476,207.13011122105462,ALO
13,138.97578371833802,133.14410239563142,ALO
14,141.81564898102198,136.26722524348403,ALO
15,173.3347488128,178.80646571623933,SAI
16,246.62130883809522,249.3047459261457,SAI
17,232.8877470104838,243.296030242109,SAI
18,113.04922973318492,112.1970665493795,ALO
19,191.35019704491773,197.38478394589373,SAI
20,193.14985950355054,191.24379937154131,ALO
21,231.43220217433768,232.63647243831934,SAI
22,270.22312635296703,262.3693547611544,ALO
23,293.5956894541075,283.68962201745114,ALO
24,310.80242967183676,296.8040222987115,ALO
25,,302.1909096727273,SAI
