Minisector,LEC,ANT,Fastest
0,327.97901085832547,323.21295493171715,LEC
1,338.43083070548755,332.867932793939,LEC
2,339.5117648470588,336.6802755833584,LEC
3,190.14900208716483,197.91623455456082,ANT
4,131.25603888652114,134.2350507404907,ANT
5,269.9052180841819,268.45335849224625,LEC
6,306.15876696188684,302.37760958780956,LEC
7,322.9624872330742,317.08018353499267,LEC
8,284.80366045777777,261.54390082336505,LEC
9,144.66523108151625,151.94075581401168,ANT
10,227.92561054965987,224.32729944130634,LEC
11,236.97428445634247,230.96727837622106,LEC
12,207.32047366836795,214.543810419343,ANT
13,274.4865797814796,274.9729260395257,ANT
14,310.6556563693424,307.95309049379813,LEC
15,327.5381862327065,319.23206770962963,LEC
16,285.11952428720497,267.7783075917949,LEC
17,215.18641761877552,221.92929855855883,ANT
18,282.3609682095461,280.95307578022243,LEC
19,313.97749675444413,312.29301443973856,LEC
20,329.1936599264749,325.196538360929,LEC
21,319.4312837846465,313.53438327466665,LEC
22,213.99228364256302,216.67819528051015,ANT
23,266.81726473309095,269.6100960928468,ANT
24,308.29576429654645,305.5579053979138,LEC
