Minisector,LEC,GAS,Fastest
0,265.1446063542857,258.5429188075924,LEC
1,135.792294853815,133.0963838836227,LEC
2,196.8109128392425,200.5995150311111,GAS
3,244.86854475174604,246.65267826622573,GAS
4,261.1557843326984,255.47272548923078,LEC
5,175.82918255427379,173.4961204979183,LEC
6,144.72831159394383,146.31986488556777,GAS
7,184.69678121757207,183.26449552007514,LEC
8,102.52935221192881,101.172779348065,LEC
9,71.840992597862,72.94809096718483,GAS
10,95.35363880280453,95.87819361969935,GAS
11,180.82958305385282,188.18498439944017,GAS
12,243.53101866384878,245.5160004395238,GAS
13,268.50464282340135,269.20658908542123,GAS
14,280.34806438857146,271.3560545644685,LEC
15,108.9729912325069,100.67321458079473,LEC
16,142.0739126561616,152.66459616011073,GAS
17,185.42739074192687,184.40761079824642,LEC
18,199.8912377942246,196.67164372739197,LEC
19,217.46661999819915,199.22155087774388,LEC
20,135.45077351798707,136.25077870651342,GAS
21,114.08272814224284,106.99809693243868,LEC
22,99.83443231158633,103.08692494426276,GAS
23,203.64434139495555,201.7406481280726,LEC
24,249.09088552133582,251.49846385930158,GAS
25,261.8545454545454,,LEC
