Minisector,LAW,ALO,Fastest
0,288.6241506865359,289.02212938235095,ALO
1,294.34830507774893,290.8344395920772,LAW
2,153.17403577998093,157.65576173800093,ALO
3,220.85106472568665,218.1230185432568,LAW
4,268.19302005491653,271.1975392955093,ALO
5,289.4980530800907,292.7202615365079,ALO
6,300.31959827918365,302.81334058353684,ALO
7,164.64994480134024,160.20942565229055,LAW
8,132.88573066231743,124.71329177732048,LAW
9,248.51355840870747,249.09752501051148,ALO
10,282.5141237825878,283.26641202796316,ALO
11,288.37896714120933,293.1729756363636,ALO
12,134.63646557745523,137.11279015607298,ALO
13,199.44573404059403,198.1716130887749,LAW
14,256.8422677291775,251.9017550245989,LAW
15,192.78665575800397,192.5119238235272,LAW
16,213.41614218672206,205.18447676220953,LAW
17,208.33030331486984,202.57294429716805,LAW
18,241.1629743751959,240.59622852571428,LAW
19,273.6786581727273,275.21603008149316,ALO
20,290.79893526716046,293.38115744,ALO
21,254.96044066730462,262.93964727578947,ALO
22,214.49050448654162,204.5996855242066,LAW
23,196.8803676517755,194.84040562943582,LAW
24,261.0596276306173,265.5686262401635,ALO
