Minisector,RIC,GAS,Fastest
0,247.56920962351936,257.714438919224,GAS
1,208.9585182137211,202.28362897659343,RIC
2,221.4674479990963,217.76196098064517,RIC
3,262.3096340091711,259.95754589737084,RIC
4,276.61933316266663,274.0316664,RIC
5,223.6628715538081,221.16998762364872,RIC
6,96.09301438234718,95.58055061091518,RIC
7,185.6173108917934,185.68171223703703,GAS
8,268.8539996586667,268.4431344563389,RIC
9,290.2630434782609,289.11374112825587,RIC
10,298.42777773333336,295.84199104200883,RIC
11,298.6994565101449,289.0138630812679,RIC
12,114.38658979985185,112.82788892946436,RIC
13,214.47150489462365,215.08050232814878,GAS
14,275.5893108957466,275.71766882563264,GAS
15,296.2479166,293.48178053830225,RIC
16,233.15751995663032,221.17237835551384,RIC
17,125.94698767008678,121.8907246839568,RIC
18,153.3250393073389,152.10322657551632,RIC
19,253.4689883526601,253.2774028698413,RIC
20,160.87575875324674,155.44218611261203,RIC
21,129.04115869337863,127.44612062438068,RIC
22,205.3181307855498,206.64821435714285,GAS
23,216.84697284231402,202.24221749759704,RIC
24,170.94655643206363,166.73429834366317,RIC
