Minisector,RUS,LEC,Fastest
0,274.15214708844377,266.7801472,RUS
1,308.4852278630065,292.3336474867248,RUS
2,322.9107841172747,304.77818631215683,RUS
3,332.69482970151176,314.63031997142855,RUS
4,337.8903569980952,320.2741319111111,RUS
5,340.8097833943178,321.8352232285714,RUS
6,192.64638350513562,198.0551135190476,LEC
7,105.76639471403917,104.12548328187103,RUS
8,188.33887368989153,178.72832337737287,RUS
9,262.4194090321085,255.02129641481483,RUS
10,297.6313982501842,285.69047636825394,RUS
11,170.52137027094693,159.60099855834602,RUS
12,97.78186513936939,96.79018165990925,RUS
13,123.22249855869319,111.2693424198389,RUS
14,221.3102455222654,213.46601363014491,RUS
15,186.82798563747787,186.61615001858516,RUS
16,227.33190281544253,221.24338856969698,RUS
17,181.58203217428573,174.4586638730159,RUS
18,240.77537076210524,237.05278404363634,RUS
19,280.6857785566955,272.8931621495238,RUS
20,243.38844653116428,241.77863408521304,RUS
21,144.0283307176719,144.15884116925665,LEC
22,95.67394539117862,95.89644812688337,LEC
23,127.27766929563036,124.95272041713123,RUS
24,224.37289607111111,223.48246602448978,RUS
