Minisector,HAM,LAW,Fastest
0,315.50515737560215,317.16313094276336,LAW
1,312.480654552381,313.3707730690909,LAW
2,159.68606493180633,166.25187647728677,LAW
3,162.60511095014778,159.1767163019174,HAM
4,197.5767053848456,197.16467117894973,HAM
5,149.26025359027292,147.50750669025004,HAM
6,206.40820559979386,200.99334337413865,HAM
7,275.69003931396605,271.62480112818946,HAM
8,290.05055549155554,292.41948953641736,LAW
9,282.17710584805155,286.0664060286731,LAW
10,245.56514713263158,235.7208032036281,HAM
11,243.0980661425655,240.07637108627725,HAM
12,223.86380942682513,213.95841321094426,HAM
13,173.1380465025948,175.78965877846076,LAW
14,141.4337334174615,139.6300307889324,HAM
15,130.62199874554787,130.58571116317378,HAM
16,199.22991271198654,204.01776017734323,LAW
17,265.7191885893558,267.7773602329283,LAW
18,196.5410515845792,192.0127004893773,HAM
19,114.88065453870193,114.12881383527869,HAM
20,207.80786391622559,206.8351206115601,HAM
21,186.04231637611122,181.48328624322036,HAM
22,246.15830289590644,252.70908634030974,LAW
23,277.3799006711834,278.6427670418638,LAW
24,303.0748725587954,305.7774244614966,LAW
25,314.1250005333333,,HAM
