Minisector,VER,OCO,Fastest
0,295.520237968254,303.43880928761905,OCO
1,297.78651859585557,303.7933866751323,OCO
2,288.48333413333336,296.444647469407,OCO
3,224.38011264204806,225.06250141866664,OCO
4,221.04099661128205,221.88109376201135,OCO
5,121.76074153502046,117.7037523166326,VER
6,228.099254749523,221.9309293805259,VER
7,266.7600071039635,262.49927462028984,VER
8,217.89570627750916,215.64967206165213,VER
9,124.5905989962453,119.72315808302183,VER
10,239.93419463139693,237.5830904772847,VER
11,251.432542444794,251.64275443809524,OCO
12,138.370801320784,135.84881818785541,VER
13,219.70123238941798,221.2229675520501,OCO
14,265.72916630929706,264.8660696029227,VER
15,223.1326216216237,221.25533864409172,VER
16,173.49931985565345,169.7942721589004,VER
17,242.61882943982073,239.84486667439614,VER
18,126.42254433914079,125.22443397138892,VER
19,154.0618388994709,148.51945207955322,VER
20,205.25646924836545,200.61869571888343,VER
21,255.1838758426501,255.12776606605814,VER
22,269.7504632011899,272.02182496507936,OCO
23,279.68670437117663,283.40138467480216,OCO
24,288.93195447819545,293.04233422989097,OCO
25,293.0,297.4624992,OCO
