Minisector,SAI,RAI,Fastest
0,274.76273706666666,275.02686635650025,RAI
1,299.39570469580315,301.3763883259259,RAI
2,312.15964603876796,316.17668027338937,RAI
3,319.0323526901961,323.9424476666667,RAI
4,323.8026040666667,328.87959483207345,RAI
5,324.80809927139717,331.4270833333333,RAI
6,210.83500479999998,215.88837506813186,RAI
7,108.77952082376194,105.38809449908219,SAI
8,186.3998133282555,185.30892601904762,SAI
9,262.7724029268582,264.2894036342857,RAI
10,291.79014473650795,294.6944436740741,RAI
11,174.79508594644935,177.2827271347096,RAI
12,98.83683996944379,94.63662822312925,SAI
13,117.01847703188405,116.05268159605711,SAI
14,225.21594207536234,223.45848236825395,SAI
15,186.4247327316913,184.41699631982522,SAI
16,232.50252375389238,219.9462733383023,SAI
17,180.8077385853968,181.37935718322936,RAI
18,237.79206191020407,235.85789879826842,SAI
19,278.36014951779447,279.1824065185185,RAI
20,254.32191976450216,251.9607311878213,SAI
21,146.25923800512342,141.50146424504504,SAI
22,97.01830904646077,97.3449969688862,RAI
23,128.73838995051347,124.67495895464756,SAI
24,228.97649928612836,227.86032403478262,SAI
25,258.2499968,,SAI
