Minisector,BOT,VER,Fastest
0,294.31989168818325,293.26730425650993,BOT
1,297.1414357333333,302.3802164885154,VER
2,170.40572917003027,173.19486536719555,VER
3,228.79174336397517,235.32646464667374,VER
4,276.0233602950658,277.65282029874686,VER
5,293.16980648841997,294.2509818167525,VER
6,299.24814820740744,302.4521164444444,VER
7,158.25573942992193,168.66751765238095,VER
8,141.00400624211184,143.51877247749292,VER
9,253.68841389192502,254.583618031746,VER
10,285.91271893333334,285.2624523234179,BOT
11,297.3010049465707,297.71412023703704,VER
12,147.25828423208281,153.63380298440683,VER
13,206.71475423583541,208.03266850133332,VER
14,264.7952016627354,266.8702956045351,VER
15,203.88786735238094,206.61660743608198,VER
16,226.64516726121974,232.75471174492756,VER
17,215.4652085333333,215.45534008185925,BOT
18,246.92209523155668,252.4248310639456,VER
19,277.68329307816975,278.7232460912281,VER
20,294.15342539386756,291.5902440336406,BOT
21,262.9709750566893,272.6227365561905,VER
22,220.62733983962588,233.58540260041408,VER
23,213.6882331282619,226.49303047458457,VER
24,269.2094734809778,271.60570268070177,VER
25,282.0,286.0250016,VER
