Minisector,SAI,NOR,Fastest
0,296.4718882753102,311.01084623845816,NOR
1,304.62648807619047,324.9358980923077,NOR
2,307.03216811505195,333.1825551355311,NOR
3,295.5224356923077,337.7315478349206,NOR
4,194.85419939712583,210.73597177281877,NOR
5,96.97002581296977,90.30951135734989,SAI
6,206.7396835555556,190.55412786960056,SAI
7,258.04737724615103,250.70186104761905,SAI
8,280.559896,271.7864588,SAI
9,281.2461095822222,280.722180291155,SAI
10,144.52447994774485,154.21902390204082,NOR
11,177.13073116829145,166.09520211103631,SAI
12,241.1513893925926,233.40789535438594,SAI
13,241.67198959576723,235.6674798275689,SAI
14,148.06138783821578,147.8060919389453,SAI
15,209.93412091578483,212.31178768761907,NOR
16,259.9028214088979,262.0476199809524,NOR
17,281.0811757809524,281.3982767871759,NOR
18,292.80972236190473,284.6172221155556,SAI
19,299.51095314595295,291.01527815111115,SAI
20,291.67741931960205,287.11600435969297,SAI
21,150.28190414979525,148.84669969909382,SAI
22,208.57523934476188,204.843336,SAI
23,258.0577723982575,259.18031788660903,NOR
24,282.39680091428573,284.76111160888894,NOR
25,,293.7062512,NOR
