Minisector,PIA,LEC,Fastest
0,274.74411761045195,272.95022562646614,PIA
1,231.90427837121024,249.14912319102132,LEC
2,119.00886768097479,122.50914811928206,LEC
3,171.91505484937326,169.72035449686726,PIA
4,187.96168976737326,198.89326169914673,LEC
5,202.27771293735276,195.29399650490842,PIA
6,267.6723217038961,267.3231341359045,PIA
7,289.2873530729412,288.8412972198136,PIA
8,230.37519588431246,233.6590310124542,LEC
9,147.97762899175868,146.6424085168423,PIA
10,123.31038173015763,118.60727023391222,PIA
11,161.5390959678673,155.4086728252715,PIA
12,244.2506344645066,249.08737980171261,LEC
13,149.54353884773107,151.03135750982673,LEC
14,153.75696000694754,157.30206203106198,LEC
15,105.61358544224353,108.92220320522313,LEC
16,222.61228442923928,223.32137196634721,LEC
17,237.1247889760571,229.6719771073016,PIA
18,128.36424733360067,131.40728762725152,LEC
19,241.37993861626376,242.7069727138047,LEC
20,278.9152531714286,275.4895470135461,PIA
21,193.99942912228215,197.30254751664305,LEC
22,156.53450265730612,156.176716125977,PIA
23,217.89788332603075,217.1077581339964,PIA
24,233.02088587202124,232.11860131869568,PIA
25,258.3333333333333,,PIA
