Minisector,GAS,OCO,Fastest
0,283.9668939393939,286.1433948622222,OCO
1,154.70618281316789,170.5749653581313,OCO
2,175.27297621471862,172.9460212909319,GAS
3,251.88371936907828,256.6998269929845,OCO
4,279.79941379518453,282.05441426813246,OCO
5,243.5622453548896,248.39834896563147,OCO
6,218.92915549302833,226.42246060426305,OCO
7,150.75618945277813,153.10807245235608,OCO
8,229.27715571717172,225.79441086178144,GAS
9,280.4547727030303,277.7653551111011,GAS
10,299.3600888313213,297.24183121964916,GAS
11,308.229644089685,304.37171513117596,GAS
12,309.87083333333334,308.5372158545455,GAS
13,301.08889111619044,303.5988987050074,OCO
14,131.73761682185787,137.05954872973547,OCO
15,121.10620090977334,120.61808560736782,GAS
16,101.26213923292383,102.64171496567552,OCO
17,229.198391056704,234.48663299880565,OCO
18,286.29823701043085,283.7026506180499,GAS
19,306.7286470882382,304.67073459012784,GAS
20,316.5473376480994,315.11244048035917,GAS
21,312.6121716612345,317.37571358844673,OCO
22,112.07044881512266,131.04397244128282,OCO
23,199.40942512504316,195.37321184072013,GAS
24,268.503709141175,267.03413150618917,GAS
25,,280.2989324524259,OCO
