Minisector,RAI,HAR,Fastest
0,251.85190692763356,244.97685222665177,RAI
1,284.73956911733137,282.0063492063492,RAI
2,174.1123178498277,172.2717093252151,RAI
3,163.47008506389201,161.11708501247793,RAI
4,259.6621216,255.50009755028796,RAI
5,275.33842229526715,271.12675848875267,RAI
6,233.553624544,223.6851816114612,RAI
7,207.0642310181695,198.56846039908322,RAI
8,164.95899654965987,159.6766131937971,RAI
9,220.74372692546757,220.3032041846154,RAI
10,271.24325424761906,269.9022963109104,RAI
11,133.67001242424033,128.1032547280844,RAI
12,216.64014606987436,217.16309379047618,HAR
13,278.35479057414966,274.63477298219385,RAI
14,299.17828951578946,296.15814519498747,RAI
15,305.53636911238095,304.18947368421055,RAI
16,242.6845228312381,229.96967428906606,RAI
17,130.09848273971312,128.7257001814033,RAI
18,127.39687796069963,128.77975741328893,HAR
19,118.80030932227494,118.13613270903126,RAI
20,227.16664952144532,224.4684996693333,RAI
21,253.7528987826087,254.27030930888802,HAR
22,236.8107231058349,224.18493706666666,RAI
23,217.08155182275016,207.23619121729178,RAI
24,137.0385676948276,135.7396534074729,RAI
