Minisector,RIC,BOT,Fastest
0,294.7381722548303,291.7408331073016,RIC
1,303.8365075809524,300.9214582577778,RIC
2,309.9431735779389,308.04222236444446,RIC
3,311.10849189587304,303.85576974065935,RIC
4,189.2219681229448,201.3498621104204,BOT
5,100.01747614036266,102.13649629429489,BOT
6,202.4369753435166,206.74039930655147,BOT
7,255.16651647942368,257.92934400174573,BOT
8,281.8884331610327,282.2393645003175,BOT
9,291.5937514666667,293.1158340266667,BOT
10,150.11660770539683,152.16643479450215,BOT
11,177.0918512643335,178.94710010434784,BOT
12,239.55070845691546,240.173012255087,BOT
13,237.677629922807,238.69128561827677,BOT
14,151.52239818275572,155.6304603586207,BOT
15,213.3017691253975,210.68690710448246,RIC
16,260.4939129950867,259.4982832761905,RIC
17,281.8303566095238,280.8461107911111,RIC
18,293.9653348111557,292.52562065411087,RIC
19,301.2464288,299.844539790821,RIC
20,280.81830198272394,282.02198804761906,BOT
21,145.63198368096127,151.46956645485218,BOT
22,206.94018003809526,210.85071890927318,BOT
23,256.45402529901787,256.44936920560224,RIC
24,280.98949799449247,279.68086751544206,RIC
