Minisector,RUS,ALO,Fastest
0,295.11083703161904,290.80753402107933,RUS
1,311.3297949103399,305.6804562229277,RUS
2,320.7392387370308,312.47702570110914,RUS
3,316.6348874856079,293.92639323089946,RUS
4,145.131477793167,158.50084373981636,ALO
5,205.018384451046,198.14177440293582,RUS
6,230.79356526222224,219.17384965874209,RUS
7,261.902409587134,257.6432517507636,RUS
8,235.12980182177517,229.69700351492065,RUS
9,158.00816452407474,147.56579262113826,RUS
10,215.27150331455525,207.31911746984125,RUS
11,127.3544479260937,125.73500634011984,RUS
12,226.64937859635313,227.39213335651246,ALO
13,172.37901603374627,163.98530545089605,RUS
14,213.95977506170274,211.18076534731648,RUS
15,223.55215767785725,215.98146842849272,RUS
16,256.13579879575303,251.39461524812003,RUS
17,273.5182543714927,265.72409817468804,RUS
18,146.47321393471165,135.63860027427037,RUS
19,168.25805895294263,157.72849381897498,RUS
20,140.64697536174148,137.8658347748518,RUS
21,150.91923913189734,142.84551516629148,RUS
22,106.66004126350431,107.8579855869753,ALO
23,216.2973295533041,217.9153194817094,ALO
24,263.5794406685041,259.3144325592902,RUS
