Minisector,VER,GAS,Fastest
0,298.42018262692227,300.7433271163363,GAS
1,204.8656900392971,184.7997991852392,VER
2,225.43807929701032,215.73888741443588,VER
3,277.75614666795315,271.6129528901027,VER
4,245.46179213129696,236.72886101307637,VER
5,127.42476463846435,120.6698006384263,VER
6,201.07517353839907,198.03364260010946,VER
7,245.15434497634232,240.45506963279504,VER
8,230.5637671540072,232.73985522541025,GAS
9,241.89540775328797,236.79808015610394,VER
10,288.35277427114454,289.52169563463576,GAS
11,310.8364259349073,310.33101020173547,VER
12,321.3880384580499,318.24869313527995,VER
13,318.0160070231177,313.7853396678213,VER
14,309.0508330071509,311.0,GAS
15,245.94125060880074,311.0,GAS
16,236.38224518497657,231.25061003916971,VER
17,280.5086698497778,268.31364134938326,VER
18,290.0059026001771,289.69446954666665,VER
19,156.049223155554,182.31105098534698,GAS
20,198.69583537675808,176.52593943982683,VER
21,178.2341615845516,191.26763420635305,GAS
22,131.09873666240287,119.63987241817988,VER
23,240.46034890758952,205.5572980252814,VER
24,293.7815962943358,282.9494855415589,VER
25,306.77142857142854,299.0973607822222,VER
