Minisector,BOT,ALO,Fastest
0,273.5326657040866,279.5680991675235,ALO
1,293.8111174343947,306.8614279720635,ALO
2,301.9672615372541,310.93750013333334,ALO
3,128.27495768674734,123.53863267160716,BOT
4,190.98346329011926,195.02163903011876,ALO
5,257.5018763857798,260.735418718406,ALO
6,139.74321525199025,133.78744964817832,BOT
7,201.2660099011084,203.74695122275955,ALO
8,260.17454429822294,257.8383104094746,BOT
9,281.64108699440396,278.25613423963904,BOT
10,222.51224401731858,226.4718779992263,ALO
11,175.00527887302644,178.26426657163427,ALO
12,184.5013606650815,188.87534670091634,ALO
13,143.8552159682135,141.67596157437924,BOT
14,176.92309226360874,170.76996161611348,BOT
15,158.79249933077026,156.10120282163635,BOT
16,214.52450709575098,216.43990770853864,ALO
17,234.59076679792187,229.17329609989392,BOT
18,238.63084571268965,235.38946577474124,BOT
19,237.86715812550642,245.21163567438256,ALO
20,143.2400505400433,138.58406124262137,BOT
21,132.5608153774448,133.88424708893555,ALO
22,164.41362726667208,164.948381544797,ALO
23,147.18754268587853,142.26084384960777,BOT
24,226.7008974750275,226.569323700508,BOT
25,256.25,255.91666666666666,BOT
