Minisector,RUS,LEC,Fastest
0,269.3410740093871,271.92916345907054,LEC
1,284.88514695314285,286.3072355629868,LEC
2,283.33203643789034,288.4145427660131,LEC
3,127.10073108098764,129.3123342064934,LEC
4,197.9188673344298,195.57962730188032,RUS
5,254.76440704830338,256.763449813404,LEC
6,147.57867411214437,143.90681383467955,RUS
7,213.18614015717463,208.44449256219025,RUS
8,258.745935152422,259.82906699682536,LEC
9,279.05015273600003,275.60948669717556,RUS
10,245.87460421869486,239.64388426095238,RUS
11,187.2373473266506,183.67720099503285,RUS
12,199.90607881273414,193.0124197487028,RUS
13,145.56553969546897,145.7336163317749,LEC
14,179.49374815543385,180.27478921330982,LEC
15,167.22328997555556,159.84319729574602,RUS
16,220.63598154295886,220.49227771587977,RUS
17,239.24206813674186,242.9472897725353,LEC
18,245.6545987491996,249.50387976272108,LEC
19,236.24344257616164,234.8656775766811,RUS
20,149.2051734924843,150.03334170934858,LEC
21,136.96208900466854,125.13489337291857,RUS
22,167.74693317333333,165.42577620563225,RUS
23,160.3357543872511,155.48839260831025,RUS
24,235.01628260266665,231.36287267650806,RUS
25,258.5833333333333,,RUS
