Minisector,RIC,SAI,Fastest
0,250.4371454697299,253.42755269604297,SAI
1,278.90870206258506,281.7495257109719,SAI
2,160.38526574163728,160.82214001935037,SAI
3,162.5754941470231,167.64269447755862,SAI
4,257.4213544888889,262.1064576158387,SAI
5,263.05132495930735,267.0447833748613,SAI
6,214.42109733474427,202.67508041705022,RIC
7,196.22455992510203,190.41998216830802,RIC
8,154.61197094280092,153.15033035218158,RIC
9,220.85216946128037,228.894091381685,SAI
10,274.36845277460316,278.9718816362812,SAI
11,126.24345619084444,120.87186410097279,RIC
12,214.72645099024612,221.83351413333332,SAI
13,269.9748382337662,273.58027412930585,SAI
14,290.31187170567455,289.8814581866667,RIC
15,297.9092040471151,295.5391665066667,RIC
16,215.66108676163878,211.6270156137931,RIC
17,134.76179448897818,132.00550353494938,RIC
18,135.5713109928383,133.53064503632262,RIC
19,121.38480430087463,120.90350894603175,RIC
20,221.48664667637877,222.96730728205128,SAI
21,244.59647108373125,248.56114450389526,SAI
22,224.06250153846153,221.12019347692305,RIC
23,208.09758854275492,204.87680655743497,RIC
24,146.69923522539682,144.27700967466956,RIC
