Minisector,LEC,STR,Fastest
0,251.14542690041552,244.19843092994748,LEC
1,205.25802692431452,206.69857179428573,STR
2,197.78455123590595,201.410870133398,STR
3,248.36276414086953,254.28635418417502,STR
4,269.0139604295856,270.36901152506124,STR
5,286.3686645093461,277.20364908985505,LEC
6,150.1979884508895,160.8770145602822,STR
7,176.48337288051314,173.6986421539718,LEC
8,266.3373493348792,262.0277201477887,LEC
9,293.2719334877558,288.40406277253106,LEC
10,306.7939920255892,297.2933248076927,LEC
11,307.70919189707604,292.8728653174641,LEC
12,107.65310309767308,115.70346154946799,STR
13,186.0300724098297,187.1577028600391,STR
14,277.05298354733895,263.33582115978726,LEC
15,305.18092697843787,290.74552284734693,LEC
16,310.43708308317457,292.0970896322255,LEC
17,174.73799441857963,182.00886018862914,STR
18,210.59957475102038,213.1048698794942,STR
19,263.96809227230284,260.51493094603177,LEC
20,144.33602575327328,155.9782615935924,STR
21,139.74833232549042,138.68862646684872,LEC
22,218.7278756096,215.3927455874032,LEC
23,230.63846181850676,222.81295433560388,LEC
24,153.05652032263743,148.5258120032085,LEC
25,,217.0,STR
