Minisector,NOR,STR,Fastest
0,263.01740203921565,262.45260156681246,NOR
1,139.32890852891057,137.59046866492946,NOR
2,197.9115950730159,198.00099347301585,STR
3,248.93120134754506,246.6927659359162,NOR
4,261.76953166666664,257.86764674509806,NOR
5,187.4430589482669,181.14209768311687,NOR
6,149.80770146095463,146.10506381249073,NOR
7,184.81457387977335,182.47803195151516,NOR
8,103.6238545634812,102.83668550580103,NOR
9,78.20771525298507,76.98929693056243,NOR
10,93.88781188040417,94.31075461439153,STR
11,172.67106489772257,181.7460658517169,STR
12,245.45915975394917,248.75416753333334,STR
13,271.46086790404695,270.8140340602262,NOR
14,279.7611117511111,276.60546673333334,NOR
15,120.96659408073516,113.43515012348102,NOR
16,132.49909070015838,149.1156557489267,STR
17,195.93198737430635,195.6999997968254,NOR
18,202.3949076661778,204.5365144441255,STR
19,225.22238893544974,220.27242269149332,NOR
20,137.50337757006818,132.70307706660483,NOR
21,119.83637872761904,109.52105356087405,NOR
22,89.98765470949458,96.60024814733602,STR
23,196.269110641215,204.62004154920635,STR
24,252.28480451764705,253.3246283904762,STR
25,262.2416661333333,,NOR
