Minisector,LEC,PIA,Fastest
0,251.23650705069554,253.06232700391536,PIA
1,218.55986115156355,206.02886315649647,LEC
2,200.32844894779387,203.22941095236658,PIA
3,254.74079664789215,260.6706580296414,PIA
4,270.0268494099248,276.7271363707937,PIA
5,287.392240806076,290.0213646328889,PIA
6,166.18167863936438,157.43621763299095,LEC
7,177.49726626551566,182.23308015953666,PIA
8,266.57309046492753,269.7154403881481,PIA
9,291.43592140432423,296.83989569765583,PIA
10,303.66729703672723,309.28464050306894,PIA
11,306.7611996790476,309.23881387795416,PIA
12,117.03832392479363,111.58257730110215,LEC
13,195.64355649182863,188.71512940911418,LEC
14,267.78914340685714,271.285761565291,PIA
15,293.0374883886384,298.7632834807017,PIA
16,295.73017863999996,302.96682331936506,PIA
17,187.8628828251009,179.9791563197383,LEC
18,216.1734123911111,218.6873936136127,PIA
19,263.77547509174724,268.43948128919124,PIA
20,153.65768823473923,157.77012877030302,PIA
21,145.3935858927992,142.62823678572283,LEC
22,219.6610345181527,219.56865865912778,LEC
23,229.73260993523812,226.18223733028572,LEC
24,157.77687776278873,159.80946098020462,PIA
25,224.4249984,,LEC
