Minisector,HUL,PER,Fastest
0,312.2021973267034,307.9995019788101,HUL
1,142.1566376529995,145.44106446509926,PER
2,211.43731666747922,212.32884492913038,PER
3,273.2370404432029,271.8636362938932,HUL
4,310.4415051435585,311.3952824016931,PER
5,313.1250596417849,318.22155665964914,PER
6,148.35009687544465,151.76315168793604,PER
7,246.30690363527665,240.1398821684261,HUL
8,117.59560338467547,115.05019628964678,HUL
9,142.17710810784538,149.58266229473674,PER
10,269.80228504729575,270.2651363280591,PER
11,297.43678025209107,299.13232938401654,PER
12,257.5030815581794,238.81450329342402,HUL
13,149.71894025798218,158.1101208347308,PER
14,272.4115158944578,274.606744435015,PER
15,305.5537425973146,307.0560586739229,PER
16,321.07286996679875,322.93855180444444,PER
17,328.1813376156288,330.8454331003752,PER
18,334.12274639274375,332.0418994163606,HUL
19,332.263383104127,328.46383662666665,HUL
20,217.00994128055677,190.85448169919562,HUL
21,157.91690256855335,169.35889093824338,PER
22,273.0884778689924,276.4376729440191,PER
23,309.4040476586667,309.44185565513783,PER
24,322.9810003516356,323.8186756178537,PER
