Minisector,LEC,PER,Fastest
0,295.8840655353868,293.7376369628981,LEC
1,304.6342263957672,306.6386588310777,PER
2,297.4296431197884,287.3397515502363,LEC
3,115.48915027844048,112.02017042262867,LEC
4,230.65071724045123,228.04381784667603,LEC
5,269.8171942850506,268.98778846467445,LEC
6,217.8868947031759,211.00711320253487,LEC
7,169.17467147345585,164.0403601444683,LEC
8,204.84270441587952,189.6313653392181,LEC
9,222.1117505523845,211.29379814017133,LEC
10,117.75683213334308,112.77683272108581,LEC
11,235.6302047239898,229.2407771241255,LEC
12,120.21018216868191,110.74575277110421,LEC
13,228.35918829174292,221.75188124016802,LEC
14,276.6785488635118,272.09338471680616,LEC
15,223.17121735446267,213.70924786096865,LEC
16,205.17751295218915,202.78544094275264,LEC
17,259.46097751881905,254.59184779130436,LEC
18,208.18437884634196,201.62210430769375,LEC
19,187.81926435139164,179.76882202205692,LEC
20,273.47341670703736,268.7341782507909,LEC
21,297.4959279932571,294.7112469654135,LEC
22,173.79722414151766,162.20405503414395,LEC
23,216.70313113560266,210.04946779471624,LEC
24,275.5222917831382,275.3715436109347,LEC
