Minisector,GAS,PER,Fastest
0,316.2754774,322.96656746031744,PER
1,319.0162526144927,328.7344697212121,PER
2,312.6970645212121,324.1515151515151,PER
3,202.94859422253737,204.48422367029502,PER
4,125.56308713469704,120.70112092059497,GAS
5,264.90385750123454,268.51975308641977,PER
6,295.48208563352796,302.23370931381663,PER
7,301.82638888888886,312.4115942028985,PER
8,272.35181667179717,278.68605769230766,PER
9,151.62257900642666,144.68720600806432,GAS
10,225.60143267619048,226.2701147195647,PER
11,222.79787962534925,213.38333333333333,GAS
12,203.11955362285713,200.47690503749718,GAS
13,268.1103830857143,269.7263682602647,PER
14,299.03886386031746,305.6855518898535,PER
15,307.64692030144926,315.4559782956522,PER
16,263.34347481904763,266.4066214591952,PER
17,214.26050455919193,201.61690480761905,GAS
18,272.7187952996337,270.7057249185723,GAS
19,301.7524998217143,306.4678819111111,PER
20,307.36990406321655,316.39629013688017,PER
21,297.4711809269841,303.53229166666665,PER
22,219.46190107689992,207.9510388162879,GAS
23,265.5975304296296,263.934126984127,GAS
24,299.43076287199267,304.63716672,PER
