Minisector,RUS,GAS,Fastest
0,293.25854158933333,290.2564982412954,RUS
1,305.2180201231614,300.5311358138349,RUS
2,309.18402880802006,295.48003282337,RUS
3,186.92295432344125,190.2243417346263,GAS
4,210.27849195936508,209.33516506024026,RUS
5,206.59298290796255,203.07252321966226,RUS
6,264.9310512971705,263.61587202255646,RUS
7,260.1274683841833,258.53737653024154,RUS
8,216.94938540259741,211.26129785363287,RUS
9,210.66698212633202,211.65673651296456,GAS
10,137.47047175059296,144.63500823968468,GAS
11,204.21833355419815,205.21696743833107,GAS
12,185.421186590823,187.32084694326716,GAS
13,254.81558725587303,253.07187452623322,RUS
14,180.63793950517373,181.45930433786535,GAS
15,234.00316771555558,231.39620934714557,RUS
16,281.21952689975075,279.4720244792381,RUS
17,292.1419586213152,285.6530426888711,RUS
18,284.89121173399224,276.08025551117845,RUS
19,267.4597224622222,265.46117455085715,RUS
20,266.3746565643699,259.57806099255413,RUS
21,260.24735051993076,259.59451868400276,RUS
22,249.91032955897842,235.89800020305756,RUS
23,208.7605987525199,207.79136376377093,RUS
24,270.2614999395692,267.15647068935834,RUS
25,285.5,281.94499968,RUS
