Minisector,RUS,SAI,Fastest
0,295.11083703161904,283.6610410230303,RUS
1,311.3297949103399,295.6253430016072,RUS
2,320.7392387370308,302.7052844566225,RUS
3,316.6348874856079,296.4710566086274,RUS
4,145.131477793167,158.02471191523955,SAI
5,205.018384451046,201.32018463661916,RUS
6,230.79356526222224,223.46757703721164,RUS
7,261.902409587134,260.8373244618182,RUS
8,235.12980182177517,245.29087202502367,SAI
9,158.00816452407474,145.24562160211076,RUS
10,215.27150331455525,217.54214377967534,SAI
11,127.3544479260937,124.8688880066886,RUS
12,226.64937859635313,234.6074109037037,SAI
13,172.37901603374627,166.99841686180207,RUS
14,213.95977506170274,209.38718135181955,RUS
15,223.55215767785725,221.900508672,RUS
16,256.13579879575303,253.84299220899607,RUS
17,273.5182543714927,284.13456852531255,SAI
18,146.47321393471165,144.3907067091724,RUS
19,168.25805895294263,161.38023703843115,RUS
20,140.64697536174148,129.96081299054904,RUS
21,150.91923913189734,145.80415794161289,RUS
22,106.66004126350431,107.56673963202822,SAI
23,216.2973295533041,214.7942949035046,RUS
24,263.5794406685041,262.8776686029712,RUS
25,,277.2624992,SAI
