Minisector,LEC,VER,Fastest
0,286.9935209770308,279.9849867428572,LEC
1,122.43118020729732,126.47582904063233,VER
2,167.84240787252833,164.74315722328652,LEC
3,210.7384833921429,215.5117967930736,VER
4,164.96728575587554,165.71398363784868,VER
5,247.36112965102538,238.88372037333335,LEC
6,210.91689689608714,212.12949272380953,VER
7,140.14783158119957,140.47427853227745,VER
8,238.65000668434115,234.44219336542832,LEC
9,279.4822649934248,274.34228158974895,LEC
10,287.3539056,282.47476706428574,LEC
11,148.24600881139688,151.7689867604874,VER
12,223.2475667186147,217.56175639619045,LEC
13,273.6192716888889,266.99566733544975,LEC
14,277.53815949469055,273.16413271172956,LEC
15,100.80482782814815,104.51799205287966,VER
16,222.54242608484847,219.17784027585668,LEC
17,275.02708406666665,268.5347216592593,LEC
18,294.37498058338736,288.66053891764705,LEC
19,304.96797629968256,299.72501987047616,LEC
20,308.89296305777776,304.3622222222222,LEC
21,295.28474912239767,288.72549145098037,LEC
22,159.8004755047619,159.50553583045934,LEC
23,236.05348180489904,232.66008799238097,LEC
24,276.5102165984912,270.9833193596421,LEC
25,286.0,281.83749973333335,LEC
