Minisector,GAS,ALO,Fastest
0,305.0530524957464,306.1588236392157,ALO
1,222.08129272439527,225.80956031784805,ALO
2,149.84904262791767,142.44440249718812,GAS
3,221.1659025113997,216.74023584993625,GAS
4,165.4080221675201,157.34649996750213,GAS
5,174.53841782663744,179.78169907809522,ALO
6,252.29844091885715,249.4396305777778,GAS
7,277.790427145061,278.014374894396,ALO
8,284.87655681699414,286.228715720473,ALO
9,255.54464862048454,245.79885100020252,GAS
10,245.3847837357637,240.43854978354977,GAS
11,234.41026942815546,230.32614883283117,GAS
12,199.00904577522093,201.03284234971431,ALO
13,124.28336538811271,126.33241336769711,ALO
14,133.64400932932537,134.76434369342758,ALO
15,178.0442494911791,183.8201616328981,ALO
16,247.36426370526317,255.80828824554814,ALO
17,242.05569531987302,238.55289444963924,GAS
18,116.00257740882964,112.9186993657917,GAS
19,197.3404632593529,199.1310139705222,ALO
20,197.11672157074284,190.89846003983806,GAS
21,230.31012797320014,237.21400595797982,ALO
22,264.26867089627706,272.13290388392494,ALO
23,283.02867224022407,296.96410199,ALO
24,298.57886785141005,314.62772251377777,ALO
