Minisector,HAM,KVY,Fastest
0,233.4211136098328,235.29514422248624,KVY
1,286.2251146842491,286.9093196432283,KVY
2,302.2924815688801,305.88307895608204,KVY
3,310.06509746147185,312.0838767768116,KVY
4,267.4001627548874,253.1004514506751,HAM
5,168.11673289961513,165.5098663655606,HAM
6,262.04606341313126,265.8729280902998,KVY
7,275.41585719466667,282.9225308839506,KVY
8,213.30352548030731,201.87418370683451,HAM
9,223.3174250989899,220.5123688302725,HAM
10,181.61203330435453,171.53749925079364,HAM
11,225.2570519425089,228.37437087591965,KVY
12,202.352527931684,197.0410239680622,HAM
13,209.14623852290902,208.43307768163265,HAM
14,221.2287953809524,224.07410331069568,KVY
15,180.2114919751905,167.5549689637166,HAM
16,250.210844682136,255.81436866206897,KVY
17,291.10835740038095,303.6618533432712,KVY
18,306.00923923478257,323.1865943188406,KVY
19,282.5797818498042,297.3931699111111,KVY
20,130.04995705304665,123.10360329826189,HAM
21,156.90491907932588,148.40440997208114,HAM
22,151.89383887629916,154.64397363646614,KVY
23,199.48892672695592,195.66654008498432,HAM
24,145.58247404614593,140.95457940513327,HAM
