Minisector,SAI,PIA,Fastest
0,276.8835928085154,275.97321160620726,SAI
1,302.6746430737415,304.12584496975654,PIA
2,317.0697930890815,316.1956169974026,SAI
3,324.2004481621703,323.35808546031745,SAI
4,328.8191270095238,325.9721702912045,SAI
5,328.080254436727,327.29325740929295,SAI
6,209.2008476943238,221.0071858395952,PIA
7,109.37309619887374,108.93695096437114,SAI
8,187.56453380902693,186.2719776886564,SAI
9,263.7983419643808,264.13116192882205,PIA
10,292.0476932711046,291.6527240987655,SAI
11,164.37306178382875,165.00026767918052,PIA
12,94.51707364392291,97.77336338387786,PIA
13,119.2215682414035,116.65161704483656,SAI
14,220.32746485576249,222.20310441823764,PIA
15,187.14766774498813,200.77902839373968,PIA
16,229.6274994521212,232.19802950582903,PIA
17,177.84506827621587,189.64500332990235,PIA
18,242.99488953763537,242.37150527830968,SAI
19,280.5818777848485,277.7447201174603,SAI
20,245.73921226597403,248.45976702703553,PIA
21,146.87329377246996,148.73378532553153,PIA
22,98.4550483243985,99.26100030764479,PIA
23,126.06238530649519,125.83872110834145,SAI
24,233.00310189357026,228.08639360047076,SAI
