Minisector,PER,NOR,Fastest
0,300.60126812753623,300.57807968198756,PER
1,302.2624191379886,302.2496212363636,PER
2,257.3153303405714,246.23623878574142,PER
3,154.19580262795415,151.82583054972582,PER
4,169.19133839619047,162.50644966297696,PER
5,217.61921467898514,211.86931667342466,PER
6,234.5930602713954,224.98928107583464,PER
7,213.2545216904378,211.42711415896554,PER
8,268.00296164793434,261.92674686914904,PER
9,252.4880146730267,258.62425599263656,NOR
10,269.635178298142,274.99795839752306,NOR
11,269.286448919192,273.46362692180884,NOR
12,269.49049975466664,273.9041668888889,NOR
13,265.8468132220603,260.44449852342854,PER
14,178.90056249987128,176.91609808364865,PER
15,239.42741284579498,243.52764950582923,NOR
16,208.51343801476733,207.0565828563668,PER
17,176.14731693913453,171.84695570345744,PER
18,258.6600052775613,256.5673029184787,PER
19,285.81208768261274,285.2243782745576,PER
20,252.08111304674318,249.11006043326609,PER
21,183.70502288393882,188.07033915948318,NOR
22,256.6002585633747,256.4653663720306,PER
23,285.5151441990827,284.7763630221147,PER
24,296.3128624695652,296.31306804848487,NOR
