Minisector,SAI,TSU,Fastest
0,278.4627191690949,275.5472779677668,SAI
1,298.46063797457543,296.3825065917536,SAI
2,297.38909087996166,294.57054467128427,SAI
3,193.88822444198385,179.34785411416317,SAI
4,121.984666765497,123.51781315316052,TSU
5,236.58592106691006,237.98164889665182,TSU
6,280.35137640221177,279.80074555475,SAI
7,295.906988228598,292.54329859555554,SAI
8,191.68485846232718,179.64282247159312,SAI
9,148.69951110924617,143.9844096376818,SAI
10,253.1794368720366,250.85076587341868,SAI
11,289.5686260197464,288.0208282866619,SAI
12,303.45206535966247,294.7574985161282,SAI
13,288.3587500380952,276.36508449645714,SAI
14,297.7086239698866,293.4072271473728,SAI
15,292.8340896026446,292.7373724266667,SAI
16,262.5459764050832,251.03516488003393,SAI
17,241.05963096684607,233.57312821851036,SAI
18,277.6991253399586,276.2443920609437,SAI
19,296.4695597371237,296.95824168019703,TSU
20,300.86662917591497,296.6151899547312,SAI
21,249.39170000377132,233.5013355754726,SAI
22,269.4359607564199,259.9419042709113,SAI
23,145.45113951455252,137.1008666850777,SAI
24,224.00800608611348,220.83325269433342,SAI
