Minisector,PER,RUS,Fastest
0,290.67744954761906,292.0526970271445,RUS
1,300.34682554920636,301.25984269155555,RUS
2,275.09607916596826,278.7462572670162,RUS
3,104.91190515627494,106.21044486277746,RUS
4,224.86916688894448,228.62033505756648,RUS
5,270.37946480346324,271.3281043044015,RUS
6,215.10132475791355,222.26662188064998,RUS
7,168.17084227345552,166.10235656146435,PER
8,208.50221265985786,211.42174374496923,RUS
9,218.34284691809523,213.6513725301258,PER
10,118.5854996457008,114.54017183984446,PER
11,230.51684280041127,227.16584547482017,PER
12,124.04132959601965,115.12930637153991,PER
13,222.0150836682422,225.0617390415794,RUS
14,271.54492749271395,274.35166718277435,RUS
15,224.3945464507864,223.16756342626448,PER
16,194.83195413312714,194.7851122642403,PER
17,248.37142664410254,250.9403446237681,RUS
18,212.30179040545792,201.13644641507423,PER
19,183.22815342105085,185.11943469005232,RUS
20,262.168676893372,264.77976127221314,RUS
21,288.95156959769116,290.05860539298476,RUS
22,172.19942459568787,165.34140935453232,PER
23,210.41451025645932,214.4505782434053,RUS
24,268.7730528806885,271.4326451543837,RUS
25,283.2083328,284.9750016,RUS
