Minisector,VER,HUL,Fastest
0,230.05844869760588,228.78745317325107,VER
1,280.81433118730126,278.73279904022075,VER
2,295.1485611257338,294.06785846219077,VER
3,302.5526319855434,303.1010629688766,HUL
4,281.38461688669986,269.0645189271183,VER
5,168.8249777829117,163.51382574361293,VER
6,259.49926625865214,257.28674744088653,VER
7,274.5019577176069,278.6141305507246,HUL
8,215.85746119688815,216.63361867785076,HUL
9,218.4634987903059,214.67489031904265,VER
10,190.15005857363434,188.59975699607787,VER
11,222.72402468838644,214.319790627484,VER
12,210.30396244714197,206.7742167671192,VER
13,218.48013139947972,214.67197293445872,VER
14,220.84405464462816,214.0232201648571,VER
15,183.5741058205472,180.1913013343991,VER
16,241.98674495014075,240.95118351427416,VER
17,281.2701019307144,281.8071233444861,HUL
18,294.98523465592274,298.5620316131423,HUL
19,291.0210413682219,302.6863096888889,HUL
20,136.74952187505414,133.88554478728284,VER
21,165.3455013319518,164.70127181907014,VER
22,149.0998224143278,142.60693830938988,VER
23,206.43986430878894,211.06916486390165,HUL
24,150.21105988397858,143.78369739915104,VER
25,,176.60555235555557,HUL
